PING 8.8.4.4 (8.8.4.4) 56(84) bytes of data.
64 bytes from 8.8.4.4: icmp_seq=88 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=89 ttl=128 time=268 ms
64 bytes from 8.8.4.4: icmp_seq=90 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=91 ttl=128 time=1118 ms
64 bytes from 8.8.4.4: icmp_seq=92 ttl=128 time=105 ms
64 bytes from 8.8.4.4: icmp_seq=93 ttl=128 time=355 ms
64 bytes from 8.8.4.4: icmp_seq=94 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=95 ttl=128 time=125 ms
64 bytes from 8.8.4.4: icmp_seq=96 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=97 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=98 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=99 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=100 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=101 ttl=128 time=261 ms
64 bytes from 8.8.4.4: icmp_seq=102 ttl=128 time=103 ms
64 bytes from 8.8.4.4: icmp_seq=103 ttl=128 time=1111 ms
64 bytes from 8.8.4.4: icmp_seq=104 ttl=128 time=101 ms
64 bytes from 8.8.4.4: icmp_seq=105 ttl=128 time=255 ms
64 bytes from 8.8.4.4: icmp_seq=106 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=107 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=108 ttl=128 time=102 ms
64 bytes from 8.8.4.4: icmp_seq=109 ttl=128 time=294 ms
64 bytes from 8.8.4.4: icmp_seq=110 ttl=128 time=104 ms
64 bytes from 8.8.4.4: icmp_seq=111 ttl=128 time=932 ms
64 bytes from 8.8.4.4: icmp_seq=112 ttl=128 time=133 ms
64 bytes from 8.8.4.4: icmp_seq=113 ttl=128 time=111 ms
64 bytes from 8.8.4.4: icmp_seq=114 ttl=128 time=102 ms
